iter	Passed	Remaining
1556	54073	15385
1557	54115	15352
1558	54144	15316
1559	54181	15281
1560	54217	15247
1561	54247	15211
1562	54281	15176
1563	54316	15141
1564	54346	15105
1565	54380	15070
1566	54415	15036
1567	54445	15000
1568	54478	14965
1569	54510	14929
1570	54540	14893
1571	54575	14859
1572	54610	14824
1573	54638	14787
1574	54674	14753
1575	54712	14719
1576	54742	14683
1577	54775	14648
1578	54810	14613
1579	54840	14577
1580	54877	14543
1581	54914	14509
1582	54948	14474
1583	54990	14442
1584	55037	14410
1585	55085	14379
1586	55130	14347
1587	55172	14314
1588	55214	14281
1589	55258	14248
1590	55289	14213
1591	55327	14179
1592	55370	14146
1593	55417	14115
1594	55461	14082
1595	55500	14048
1596	55539	14015
1597	55581	13982
1598	55623	13949
1599	55664	13916
1600	55706	13883
1601	55739	13847
1602	55782	13815
1603	55825	13782
1604	55867	13749
1605	55909	13716
1606	55958	13684
1607	56017	13655
1608	56062	13623
1609	56100	13589
1610	56137	13555
1611	56183	13523
1612	56224	13489
1613	56261	13455
1614	56297	13420
1615	56336	13386
1616	56377	13353
1617	56416	13319
1618	56456	13285
1619	56494	13251
1620	56533	13217
1621	56568	13183
1622	56606	13148
1623	56635	13112
1624	56668	13077
1625	56702	13042
1626	56732	13006
1627	56767	12971
1628	56800	12936
1629	56829	12899
1630	56861	12864
1631	56892	12828
1632	56922	12792
1633	56957	12757
1634	56995	12723
1635	57027	12688
1636	57062	12653
1637	57100	12619
1638	57132	12583
1639	57167	12549
1640	57203	12514
1641	57232	12478
1642	57268	12443
1643	57302	12408
1644	57334	12373
1645	57367	12337
1646	57403	12303
1647	57432	12267
1648	57470	12232
1649	57505	12198
1650	57534	12161
1651	57568	12127
1652	57605	12092
1653	57628	12055
1654	57663	12020
1655	57699	11985
1656	57730	11950
1657	57772	11916
1658	57812	11883
1659	57848	11848
1660	57877	11812
1661	57913	11777
1662	57948	11742
1663	57979	11707
1664	58016	11672
1665	58052	11638
1666	58082	11602
1667	58116	11567
